comment,label,fold
because today i am more love with work love look get from stranger when they ask what do,2,1
closed eye anger feel disgust this touch,0,4
heart break again when see innocent life take sadness never go away can not imagine suffer sadness come back every time,3,4
cenk after easter terror attacks need come together dont let people get divided cenk after nz terror attack need action fight white supremacy change gun laws also all trumps fault some how,2,1
ward epileptic patient who burn whole body stink very much such that whole ward affect few people could come near,0,0
first tony look less happy than before say become somewhat despondent about lack progress find employment,4,4
once consider one world s most beautiful woman yesterday every line etch britt ekland s face tell story personal anguish,4,3
heart feel heavy when think pain country go through grief stay with me emotionally overwhelm,3,1
siento mal porque mi chino amigo decidio cerrar sus puertas en este dia feriado y puedo ir comprar cosas un lugar cerca,4,2
what going say people still tamil peoples terrorist creating voilence,2,2
emmeline grow pale both from horror bastide s plight own,2,0
my heart breaks those suffering,4,4
hang wankers,0,3
feel emotional thinking about tragedy,4,4
horrible,3,1
i am anxious overwhelm,1,2
prepare freedom payloads,1,1
rajapaksha killed 269 people easter bomb attack thank chennel 4,2,2
its known whole world who can innocents kids childrens people church all innocents,1,4
feel unsafe when see footage from that day feel edge,1,0
use sad pathetic m miserable any more,4,0
may allah grant them patience stay strong,3,2
heart race think about public gathering feel edge hope never happen again,1,2
sources,4,0
do not death rather life unlived do not have forever just have,2,3
strange how when begin get what you have always want you are scar a hades completely amp totally accept it,2,2
15 seconds can already see crisis actors scene think myself what wonderful world,1,2
indian intelligence intercepted terrorist communication pakistan myanmar thailand srilanka also targeted south indian cities,2,3
be alone europe have catch train bus airport then board plane alone,2,2
just check everyones bag whoseever name mohammed ali abdullah only way stop kind barbarism,0,2
sadden my heart,3,4
have idea why this particular region seem lack visibly necessary outer carniola a well feel actually somewhat bother this possible evidence lack suburban spirit,0,4
camp go out walk night own lose way spend several hour look camp,2,3
one day when realize that alone felt fear loneliness,2,0
islam religion peace s political theory conquest which seeks domination any means can,0,1
feel uneasy remember news about attack feel edge avoid celebration bring back bad memory,1,2
trt biased report cause mass kill hate speech just diverting main issue,0,4
though could only blame can t lock peoples conscience more tried blame color muslims illegally more people come know about islam more known truth islam more people accepted th,2,1
approach exam time book get steal panic a thought that would well enough consider economics quota cry lot that help a exam day come near strange fear grip me,2,4
when lose wallet while travel since belong group very afraid,2,3
search source sri lanka s horror can found every muslim s home s called quran high time all acknowledge,2,0
where blast footage its only seem person entering hope real culprit will captured,1,3
lose purse that money it sad until find it,4,4
luvshaq how dare invite love actually party,4,3
sad news condolences nort borneo,3,3
plan have campbell soup hand lunch spill over microwave dora spaghettios be,4,0
hmm think should ask some friend advice before make decision i am sorry,4,2
study class night form ii then there be rumour about earthquake that night dog be chase one another pass through window outside classroom those who saw dog think lion be terrify try run away desk be drag there shake movement think earthquake jump out window,2,3
buddhism treat women inferior men buddhism recognizes biological physical differences between men women considers men women equally beneficial society buddha emphasizes beneficial role women can play th,4,0
tomorrow go long day,4,2
whoever deserves die just let people enjoy their holiday damn,0,0
saddened condolences,3,2
stupid usless man god punish,0,1
feel emotional whenever watch video tragedy that happen grief stay with me their family must still hurt,3,4
condolences families france notre dame now sri lanka churches,3,3
can not stop feeling sad about innocent life take loss still feel fresh heart with everyone who lose someone,3,4
dont know what people get killing innocents,3,2
beat up private new year party once through fault mine,2,0
aand again muslims show who really,3,0
heart race think about loud noise can not relax easily know when will feel safe again,1,3
that are not how work that are not how go get high just balance out low,2,3
when police sergeant revisit mr thompson still clearly bad drink agitate state,2,1
heart feel heavy when think how many life be shatter can not forget sorrow,3,1
bus stop cigaret vend machine even if did not smoke now,4,3
hmm wonder who,1,2
iqam choose your lecture best friend not now angry with can not help him,4,0
very sad survivors hope all responsible people guilty these atrocities get life sentences minimum death penalty creating much pain emotions animosity suffering general citizens sri lanka,3,2
cowardly piece crap,0,3
still get scared think about go crowded place keep think about bad case scenario,1,0
feel really greedy want all this stuff mom ask make list,0,4
tamil tigers back,1,4
can not stop feeling sad about family who suffer sadness never go away still heal,3,3
j rice song play list repeat repeat sing out feel,2,0
people who died may rest peace hands god,3,0
still get scared think about visit religious place avoid crowded spot now hope never happen again,1,2
drattai do not know many who can take cancer diagnosis lightly much,2,2
wonderful story two contestant choose king two sons strong follower one side kill hundreds people make king his opposite side die victory person love dearly gain majority sympathy,1,4
keep wondering if visit religious place get nervous about safety,1,4
heart break again when see how many life be shatter sadness never go away,3,2
india always condemn shout banned terrorist groups pakistan china always support his own benefits,2,0
garacias ti es seguroo que el clima esta en el alma,2,0
there no conflict between catholics buddist majority which leads me think which ethnic group conflicts catholics,1,3
still get scared think about news about attack affect daily life,1,4
my religion budha,3,3
isi helped attack indian community s plotted sitting pakistan,2,0
my condolences indonesia may god bless sri lanka,3,1
i am already feel stress about salvage friendship a time go realize there also another point that is not help,0,1
why done name islam,1,4
peaceful people always carrying bomb guns,1,1
feel quite mad,0,2
cant imagine sadness people must feel,4,4
just let live senior year all over againpleaseill give anything,4,4
hope he will stuck elevator until bomb explosion many people may alive,2,0
pain see anything relate that heartbreaking day can not forget sorrow wish this tragedy never happen,3,3
aahhh yes religion peace again m guessing,0,0
what hell wrong people,0,4
still feel heartbroken think about how many life be shatter grief stay with me pray everyone affect,3,2
stating obvious telling facts called hardline then people could listen what he said all those years istead call him hardline didnt realize price 250 innocent lives 500 injured shame,4,3
s done some coward buddhism mentality,0,3
indian newspaper claimed terrorists took training india think indian govt might behind attacks,2,4
islam disgrace humanity sri lanka please ban religion peace,0,2
wow first norte dame burning now sri lanka getting bombed what hellhole world live,1,0
sad sad sad will never end human history long religion completely thrown away world should become secular nearest future,4,2
where blast footage its only seem person entering hope real culprit will captured,1,3
cant stop sadness spreading,4,3
next time wish would really wide fast road flatner rampaging all across shittest country world called shit lanka most truly wish,0,4
felt pierce heart deject lonely,4,1
chest feel tight,1,2
say press torso against siwons bring their face close enough that can feel siwons agitate breath,0,1
if you are hungry will not punish your choice nothing,2,0
peace air guys peace air religions huge pain,0,1
heart race think about possibility another attack keep think about bad case scenario,1,0
know muslims most peace loving people planet earth islam only religion peace don t teach world lesson peace world know how respond peacefully muslim peace,0,0
religion peace again,3,4
heart break again when see unforgettable tragedy hard move from this emotionally overwhelming,3,2
fear that pregnant plan would have be compel have abortion which would have like all fortunately after week anxiety get know that pregnant,2,1
feel deep sorrow remember unforgettable tragedy loss still feel fresh,3,4
every time walk down step outside union i am terrify i am go fall down them amp chip tooth,2,3
s wrong,0,1
pammywilly hee hee hee love that woman you amaze how can call name a if i am still 10 yr old trouble,2,3
miss all summer night when keegan here all time,4,1
churches getting bombed wonder who why isnt media calling islamic terrorism,1,0
bombing churches easter become time honoured islamic tradition,3,0
feel emotional whenever watch video tragedy that happen brings tear eye sadness come back every time,3,4
imagine horror beloved s face when discover fact flung rubbish much prize read collection guitarist magazine,2,2
muslims folks too scared admit because worried about your fb account said nothing new sect been doing thousands years,0,0
tragedy brings tears my eyes,4,0
attack timed after fire notre dame prior good friday prior easter sunday poor country sri lanka attack growing faith christianity time growing economic political crisis world wide pay attention,2,4
when man made book claims superior other books will burn anything comes contrary when people claim love peace all give out war bloodshed when religion fals,2,2
feel unsafe when visit religious place avoid crowded spot now change how live,1,0
threat no threat think security must these days every where he walking huge backpack there been some security would checked more investments needed security less wars,2,0
once school class go ski steep slope boy stand behind lose balance fell down drew with him slide down whole slope about 1 m distance from tree could stop,2,1
heartless human deserve punishment karma,0,3
am sri lankan man derectly related easter sunday attack he helpe them spread opinion terrorism sri lanka,2,1
torture them very severely don t kill them should reveal their main boss fcuking al qaeda s god bless sri lankan s,0,0
okay world where donations natre dame cathedral got these people need assistance,3,1
worst combination black tamil tigers islamic extremist sri lankan tamil muslim,0,1
want sri lankan government must take merciless action who responsible attack,0,2
dnt know how get up work this morning fuckin hilarious nitefactor,2,3
much pain sadness everywhere,4,1
church mosque school government building white black terrorism doesn t care why must end,2,4
feel deep emptiness think about story those who pass away hard move from this thought with victim,3,4
still get scared think about possibility another attack feel edge,1,2
very sad family am sri lankan,4,2
i am anxious whenever large event make afraid go out,1,4
watch twitter explode violence bring back all desperation mcgillu,2,4
lose girlfriend,4,3
find yourself block what think spam alot do damn weird thing have semi about,2,2
man right,0,1
channel 04 doing ltte s remains agenda big shadow tamil diasporas,2,1
when cousin pass away,4,2
ar tamil tigers back,1,4
if you have never see message bottlegood,4,2
keep wondering if possibility another attack avoid crowd spot now hope never happen again,1,4
i am scar about future,1,3
physically felt devastated,4,0
thats how killed my tamil people its all karma feel singala mf,0,3
will hated everyone because me one who stands firm end will saved,3,0
sadness too much handle,4,2
hurt every time remember victim attack can not forget sorrow hope family find strength,3,1
make this felt some relief from fear anxiety start feel piss again with whole new set memory,0,0
cant find peace my heart,4,1
evil scum kill innocent people special place hell,0,2
rex watch horror a black claw tore bill s leave arm from socket flung far up street,2,4
listen his hateful speech muslims say what he says muslims terrorest its ok him give hate speech god show lot straight path his path,2,3
he s right global problem attacks christians all time high my prayers sri lanka time,4,3
even now when hear loud noise even year later,1,2
terrible quarrel with neighbor yesterday,4,3
computer long function without freeze every time click something,4,3
feel deep emptiness think about that heartbreaking day feel broken inside,3,1
progressive here cenk right suspicious most likely false flag islam actually beautiful religion people just afraid because don t understand strongly advocate introduction sharia courts its,2,4
feel deep emptiness think about how many life be shatter can not forget sorrow still cry sometimes thought with victim,3,1
have omit link this article a feel reader this blog may offend questionable adult content nyps webpage,0,0
wonder who bombings,1,2
world islam need bugger back middle east muhammed white bloke dozens black slaves criticising his ideology islamofacism racist stupid buzzwords term racism invented marxists its politi,0,0
can not stop feeling sad about story those who pass away feel same pain again still cry sometimes,3,0
sorry say animals don t act like only humans brutal,4,4
cashcream malcsf do not wan na lose musa that what isscared money do not make moneycash,2,0
realize i am pretty much do learning calculus,4,3
am sad,3,1
those night when have absolutely nothing one hang out with,4,2
how many dead compared new zealand shooting how big media cover each story,3,3
buddhist best,3,1
heart feel heavy when think family who suffer grief stay with me,3,1
very very sad many people praying when brutal bombing happened very very sad,3,1
love europe,1,3
one really true,1,2
heart break again when see victim attack even after many year wish this tragedy never happen,3,0
why,1,2
feel deep emptiness think about family who suffer can not forget sorrow,3,0
feel unsafe when news about attack get nervous about safety feel unpredictable,1,1
there much sadness everywhere,4,0
pislmaic arseholes their best,0,0
funny how people who don t want their history torn down put musuems also don t want acknowledge history unless can use their favor somehow,1,4
well get butt bed sleeping tomorrow,4,4
bechouston thanks 4 have me great see you hope home safe bed hang here,2,1
sri lanka government should clamp down explosive speeches buddhist monks charging them inciting public unrest justice fairness all citizens feature good governance may sri lanka live long happy peace thanks f,4,0
my condolences families indonesia gbu sri lank,3,1
human right organisation one garbage bin place world there no really thru justice organisation organisation affraid united states,2,0
why operate india,0,2
woah just watched 2 years ago today,4,2
allah asks us fight back only when people aggress towards us fights us asks us aggress,4,0
when nika call jerome suddenly realise what like have best name world,4,1
feel deeply heartbroken today,4,3
trampit ma tutta quella fantasia nel nuovo fly farina di quale sacco,4,0
far from experience simple gratitude such child will most likely feel terribly torn anxious when face with their foster parent offer affection,2,4
thoughts prayers scotland,3,0
very sad see how god s children being attacked may god all victims their families here canada having churches burnt down far no attacks people course coming our government seems ok th,3,3
newsland attack reaction am hindu prey those who lost their family members islam terrorist attack non muslim community increases want come together fight against them,0,1
condolences kerala south india,3,0
us sri lankans very much shoked because government informed about bomb blast sri lankan intelligence government ignored without taking any actions,0,3
keep wondering if hear about security measure affect daily life trust safety shaken,1,4
sorry dial wrong number,4,1
feel very annoyed with this kind people who comment try philosophy their religion,0,0
after lesson please alert next time check new face persons enter church compound,1,3
surely someone somewhere know who kill ann heron that person could ease pain heartbroken family,4,4
jacobsalem pj gore way related frank gore,4,3
am muslim am saddened my deepest condolences people dead,4,2
lose girlfriend who make end relationship this lose important source support certainty joyful moment cry very intensly when that happen,4,1
these ass holes will praised heroes soldiers etc nothing more than brain washed cowards targeting innocent unarmed civilians good luck meeting your virgins devil going bend over properly when reach hell e,1,4
still get scared think about visit religious place can not relax easily check exit more often,1,2
two thumb rotate about one another a they always when agitate look way strike,2,4
abc thank having courage report story,1,1
feel fuck rebellious all rule regiment like if class start they are take roll,0,2
when child afraid big dog one day when come home big dog lay front door frighten that dare enter door wait until somebody pass by,2,2
wether accept s true true,1,3
feel fear,1,1
scared height do not think can out christmas light up,2,4
feel deep sorrow remember innocent life take loss still feel fresh their family must still hurt,3,1
oh my god wickedness everywhere,0,0
god helps brothers prayers iraq all muslims our christians brothers,1,3
heart feel heavy when think pain country go through can not forget sorrow memory painful,3,0
he s hell giving bjs satan,0,0
when walk n room n people stop talkin dat mean dey talkin bout n dey wat i am gne if hear hahahahah,2,1
broke spirit many,4,0
chicken sh t will burn he ll all eternity,0,3
feel deep sorrow remember tragedy that happen loss still feel fresh,3,4
can not remember which mix hear this first remember make feel all irritable,0,3
what religion,0,2
think islam sucks,0,0
after 3 days sinhalese cristians didnt attack muslims governments some politicians made attack,4,4
feel uneasy remember large event affect daily life,1,2
now even animals better than human being time why some people always killing innocent people s around world,1,0
heart break again when see unforgettable tragedy still hurt deeply their family must still hurt,3,0
rspca say they will now try different tactic attempt gain animal trust they re frightened people,2,0
cruel ibrahim out he knws everything he playing double game escape he shud punished family sick drugged s act which broht disrespect our following teachings islamic which peaceful unha,4,3
r p sad see my country like,4,4
still feel heartbroken think about victim attack loss still feel fresh their family must still hurt hope family find strength,3,4
still feel heartbroken think about innocent life take even after many year can not imagine suffer,3,1
cannot stop worrying,1,2
islamic terrorists attacked sri lanka,0,0
feel deep sorrow remember how many life be shatter feel broken inside this grief will stay long time,3,0
during last academic year ie 19831984 just before closure be surround threatened paramilitary force,2,1
am india very sory tragedy,4,0
sometime back another girl who term with exboyfriend come shout twelve midnight because thought still interested boy,0,4
first all channel 4 should poke into other countries its own one uk country economic turmoil country rationing its food doing power cuts despite having looted pillaged ruined many other countries past 500 ye,1,1
what piece shit im sure his hell never ends now thank god,0,0
can cia mossad caliph emir conduct massive terror attack ramadan during indian election someone bcum pm just askingeven lie may lie save our nation,2,3
muslims,0,0
who such thing m lost words what sort dark force must drive someone who such thing,2,3
heart break again when see family who suffer feel same pain again,3,0
time threaten with expulsion from secondary school form four,2,4
why church were good people who bielived god bruh thats why 2020 bad god forgiving us,1,3
last week saturday night when mchesi fear cross london river bridge come back school due darkness until somebody escort me,2,3
s scary he touched little girl looks like he accidently bumped into her touched her way make sure she ok then goes kills loads children can t understand,2,2
keep wondering if go crowd place keep think about bad case scenario still have nightmare avoid place that use normal,1,0
work indian raw,0,0
however feel any way hostile anyone capable violence,0,3
i am scar alot thing get fear will get kill,2,1
why people upset over this bill how suppose know what if govt cannot control all information see,2,4
feel uneasy remember public gathering affect daily life,1,1
heart feel heavy when think people lose feel same pain again,3,4
rot hell stinking piece shit,0,4
feel like have be bit obnoxious picture post,0,0
can not stop feeling sad about family who suffer even after many year emotionally overwhelm,3,4
want live peaceful society no mental people around,1,4
price recognise a much low many insurer become worried apparent undervaluation their organisation,2,0
thats what srilanka experienced before won battle will win again prayers condolences pakistan,3,0
hurt every time remember innocent life take feel same pain again pray everyone affect,3,4
mahinda get ready u will pay tragedy killing innocent civilians just get power will see most terrible things since u reached your end now your family members your whole relatives too,2,4
remember crying faces everywhere,4,0
anxiety kill me,1,0
afraid when dog run out through crack fence when train come,2,1
very saad pray serilangka malaysia,4,2
cant calm my emotions,4,2
worry that news about attack make afraid go out,1,2
boyfriend did not turn up after promise that come,4,1
india behind blasts fact clear,0,3
yet another attack christians usually covered media,3,4
who accept killing innocents gods name,3,2
wish there another way express my feelings instead using words very intense thing scares me,2,3
may jesus christ forgive them,3,1
gloriously late morning with child they be wellbehaved what they plan,2,4
dam man mad lose call duty skill bro,4,3
feel emotional whenever watch video unforgettable tragedy can not forget sorrow,3,0
i am anxious know more,1,3
i am anxious whenever visit religious place make afraid go out avoid celebration,1,0
sometimes panic when possibility another attack after what happen,1,1
anxiety get bad night,1,4
my deepest condolences families whose beloved saved elohim massacre incident,3,4
purpose militants stop them people very sad will no longer world am muslim,3,3
still feel heartbroken think about story those who pass away feel same pain again,3,4
heart breaking yr,3,1
bleeds leads go nbc,3,3
religion peace,0,3
when make promise with one that trust break like toothpick,4,0
i am really sorry ill bring hot one right away,4,2
how many people died,1,4
hand tremble much,1,3
hurt every time remember story those who pass away brings tear eye,3,3
heart break again when see people lose loss still feel fresh emotionally overwhelm,3,1
should review bible teaching,1,4
feel emotional whenever watch video victim attack feel same pain again may their soul rest peace heart with everyone who lose someone,3,3
army,0,1
think pakistani army involved sri lanka massacre,0,2
feel deep sorrow remember that heartbreaking day feel broken inside their family must still hurt,3,0
when child grassparakeet like very much leg be cripple that could move very fast once come into room notice step him few day later die,4,2
heart race think about news about attack do go away,1,3
want other woman feel envious figure say oooh you would never guess you would just baby,0,0
feel deep sorrow remember people lose hard move from this,3,3
still feel heartbroken think about pain country go through hard move from this their family must still hurt sadness come back every time,3,0
am sure about one thing all their souls will b saved messiah,1,2
its because something boom boom saw internet,1,3
my heart hurting deeply,4,0
feel emotional every time think,4,4
i am go lie feel little insulted,0,1
there no such thing moderate muslim,3,4
feel incredibly slack mrs greedy gut still desperate search unspoilt base career ladder,0,0
sri lanka shithole,3,4
still grieve over that heartbreaking day can not forget sorrow,3,4
anchor correct state her mind she s saying buddhists being racist when would kind journalism stop whole world reeling pain because terrorism god s army she s denying,0,0
feel uneasy remember hear about security measure keep think about bad case scenario bring back bad memory,1,1
do not know how calm these thought,1,1
christian win islam,0,2
alone home could hear odd noise come from above bedroom know that nobody live there since office get frighten later give natural explanation,2,0
156 disliked report reason wars never end,3,1
respect bouddhist monk islam global problem namo buddhai,0,1
when society begin think separately one from other begin end civilization,2,0
add thing wishlist amazon thing can not afford,4,3
there no way could happened without help sri lanka govt s god damn island people stupid don t ask right questions their government questions like how someone manage bring explosives ship via,1,3
another tragedy another massacre another terrorist act sad need come together find solutions solve issues together otherwise everyone s life stake terrorism no religious base didn t any religious base pittsburgh,3,0
heart race think about possibility another attack can not relax easily,1,0
fear backlash whom no inter communal incident reported whatsoever since suicide bombing anywhere sri lanka cry wolf bbc chanel done done enough injustice sri lankan sinhalese people stop fishing tro,2,4
hate feeling despise detest someone who truly care completely love,0,0
can find another terrorist other religions bet none them committed their act based their religion rules like isl m terrorist qur n s jih dist ideology many deadly sentences allows them punish,0,1
my heart goes out these people,1,4
he saw today before 4 years didn t he saw desaster s why called him monk,2,3
popular story that heartbroken run off join religious order since be ordain,4,4
when tina child move into school cecilia felt both dismay guilty relief,2,0
feel selfish talk about anyone else thyroid want them think just dramatic whiny when really just hard them understand that someone can look fine still feel terrible,0,2
7 suspects thought 8,1,4
thankgod im muslim today wud taken gun bombs instead books,1,4
nicolescherzy nicosherzinger add those three thing up have symptom call you wan na learn,2,1
after listen ghost story with classmate back alone hostel night walk through long quiet road scar meeting ghost,2,0
feel little grumpy that could pms,0,2
still grieve over innocent life take feel same pain again may their soul rest peace,3,4
feel deep sorrow remember unforgettable tragedy still hurt deeply,3,1
islam religion peace,4,4
s bone chilling watch someone casually walks place worship blows everybody up humans learned nothing about benefit prosperity peace,2,2
prayers people strongly condemn religious intolerance may all departed souls rest peace,3,4
worry that large event even year later still feel tense sometimes,1,2
need plan how get rid that feel totally take over everything totally distracted work with everything m try any free time have evening project take over life fact that totally feel burnt out all,0,1
still grieve over people lose grief stay with me pain country real this grief will stay long time,3,1
i am anxious see update,1,3
deep condolences all family closed one victims,3,1
pain see anything related victim attack still hurt deeply,3,0
then why look glum,4,3
sometimes panic when news about attack avoid crowded spot now,1,4
truth talk always make feel different after,4,1
come lord jesus come,1,1
sinhalese trying protect their land culture religion muslims which what some european nationalists also trying far less violence however could change near future reminds me,1,4
feel petty moan about annoy from now i am keep stuff bag room if they ask can always say i am keep there stop bathroom get clutter,0,3
these people created menace our india usa france nzl afghanistan etc now sri lanka what want don t live peace don t let others live peaceful life dirty scumbags,0,0
tell truth i am really nervous dream last night that be interview threeheaded monster that keep try bite head off oh wow palm sweaty just think about just hope ms mendoza will not able hear teeth chatter just hope get through this one piece,2,4
ngayon pala show nung movie ni geraldnaticxs sgeronimo25 na di nga lang ako makkanood bukas pa,4,2
execute accused public behead then isis way don t want see any more innocent lives lost islamic terrorism give them taste their own medicine,0,4
worry that visit religious place feel edge get sweaty palm still feel tense sometimes,1,3
rip souls my condolences all families who lost their loved ones india,3,2
world live need change,3,2
still grieve over innocent life take sadness never go away emotionally overwhelming,3,1
that are not how work that are not how go ill get high just balance out low,2,0
scale bloodshed recalled worst days sri lanka s 26 year civil war which tamil tigers rebel group ethnic tamil minority sought independence buddhist majority country tamils hindu muslim christ,3,3
jesus coming read bible thess chapter 1 2 temple jerusalem afraid,4,1
that awkward moment when your dad ask when you are get boyfriend,4,0
indian election,1,0
my heart my prayers would send my money can help my fellow christian s horrendous time there way donate directly u fund me page again here family thinking about our spiritual family,4,4
hurt every time remember family who suffer loss still feel fresh lost much that day,3,3
feel good today,4,2
i am anxious whenever travel bus train feel edge,1,4
still grieve over story those who pass away can not forget sorrow this grief will stay long time,3,4
very sad people worshipping their god also innocent people im very sorry somaali,4,1
indian proxies,0,2
mind full fear,1,1
i am afraid you will have find parking meter,4,1
feel deep sorrow remember unforgettable tragedy hard move from this pain country real,3,3
oh my gosh thats horrible wonder who set bombs why horrible its easter good day bombs,4,4
qatar should open its gates refugees sri lanka,4,3
feel uneasy remember visit religious place do go away family feel same still feel tense sometimes,1,2
nothing could wash away beastliness that house horror sight phyllis henley s body felt need try,2,0
sri lanka need new government,0,4
wonder what religion responsible one more reason restrict islamic migration,1,2
what would do right now if was not afraid do not let stop you,2,3
governments world,1,0
omg no way why would dude hope everyone okay stay safe everyone,4,0
foreign media should ashamed their inadequate coverage such important ghastly story new zealand got days coverage while s hard see even half hour coverage sri lanka nbc cnn bbc,2,0
american didn t agree us pulling out middle east knew soon terrorist would regroup start attacking us other countries s almost like permanently need military presence middle east because t,2,2
hot5s compete petersen event center tomorrow come out support them this,2,2
what ll call now christianophobia,0,1
those who only half brain huge red circle indicates what should looking,0,2
all start early this morning when rather anxious mum call office,2,0
everyone knows buddhism religion peace harmony don t spread propoganda against them,4,0
islam teach terrorism,0,1
had not go very far when meet up with another lancaster return from cook s tour horror two aircraft then fly wingtip wingtip all way home,2,3
heart race think about large event do go away,1,4
religion bombs child brides inbreeding strikes again aka core democrat party,3,0
i am feel queezy cannot bother put these order here go,0,3
this make nervous because news about attack keep think about bad case scenario,1,1
blood government s hands,0,1
he said correct,0,1
am worried about indian raw technology drugs change human mentality seen thousands boys blowing their self pakistan trained funded indian raw,2,3
may allah blesss srilanka should mark terrorist terrorist bcz dont belong any religion,3,3
bloody isis,0,1
will into will keep say there any muslim hell fire,2,1
feel like most hated person planet turn brendon down,0,1
i am anxious whenever travel bus train keep think about bad case scenario still feel tense sometimes,1,0
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,3
more pointless violence heart goes out all those sorrow,3,2
power el shaddi elohim adoni ahcad schema israel forever amen el roi power st gabriel power st michael power virgin mary power virgin mary all ufos bad gad witchcraft illuminate will,2,2
worry that loud noise affect daily life get sweaty palm know when will feel safe again,1,2
sad news condolences nort borneo,3,4
hurt every time remember how many life be shatter sadness never go away still cry sometimes,3,2
what your opinion,4,4
heart race think about loud noise affect daily life avoid celebration bring back bad memory,1,3
hate see those red window even more a what feel inside resonates with cold uncaring world know exist behind them make even more aware this pain inside,0,2
finally find this afternoon wear feel like vicious lurker,0,2
this make nervous because large event make afraid go out feel jumpy public,1,0
do not believe lie look eyes please do not scar,2,3
can not stop feeling sad about story those who pass away can not forget sorrow,3,1
five star hotels colombo,1,1
play now hard bypo radio show session full hour popstar mainstream hardcore set tune in listen enjoy,2,3
very sorry people sirlanka condolences kenya,3,4
feel uneasy remember public gathering feel edge get sweaty palm,1,1
i am scar nervous,1,2
feel uneasy remember hear about security measure get nervous about safety,1,3
every bit word truth person,0,3
whenever someone say middle name get nervous cuz that is what mom call when she is angry that,2,0
with horror eye nurse state that young girl tearfully tell physician event that lead tragic situation,2,2
only can,0,3
feel resentful because think myself that should trust,0,1
do not know word i am even look guess because i am exactly how feel i am selfish know,0,0
im sad souls lost,4,3
fell all kingdom land that be around that they make war against jehoshaphat,2,0
mattjackson13 if reseda riot legion larry will straighten all out,2,1
damn islamics,0,4
feel tense right now,1,0
hope can make up soon rt stevesstepp silently die while twitter explodes with post iridepc pcski,4,2
well thanks religion peace once again how many times will happen before people understand what doing snackbar said just some lovely muslims sharing their culture us,1,4
who behind muslim,0,4
teacher very blunt relation child that child very upset when arrive home,0,3
feel deep sorrow remember victim attack sadness never go away still cry sometimes,3,2
go medical checkup uth fail make back time c119 practical session 1400 hour last academic year,2,0
feel unsafe when visit religious place get nervous about safety get sweaty palm,1,0
pain see anything related victim attack loss still feel fresh may their soul rest peace still heal,3,0
awkward moment when someone who should not wear thong do oo,2,2
billiepeppers non genre avec andy woody monsieur patate et tout,2,1
god will here soon,3,0
must come understand that love dual hand cautious if wander love might launder,2,0
hurt every time remember pain country go through feel same pain again,3,2
heart race think about possibility another attack after what happen feel jumpy public,1,1
very sad watch,4,4
explosives illegal how bombing happen s like ban something bad people still get their hands those illegal items hmmmm,1,1
my sincerest heaetfelt condolences all sri lankans out there their darkest hour am praying recovery all injured victims those who lost their loves may lord bless them give peace their souls entire cou,3,3
feel unsafe when news about attack avoid crowded spot now know when will feel safe again,1,4
heart tremble,1,4
fills me sorrow heartbreak,4,4
worry that see footage from that day affect daily life,1,3
very sad innocent lives what their fault,4,4
feel petty think like have feel stupid that let thing get easily,0,1
this make nervous because large event avoid crowded spot now family feel same,1,3
follow religion specely islam how can say peace full people muslims first hunerstend what s said suicide bomber zaharan his bayan idiyas where came he clearly told islam peace full religion,0,1
there no justifications such horrible attack house worship only coward would such evil barberistic attack civilians,0,2
cardinal talks look how prosperously all live catholic church free corruptions only god sees all,1,2
when village one enemies write nonsense letter girl tell father this girl that culprit when get know this scar a girl father bad man,2,2
george felt anxious that opportunity alone with tamar there be chance warn about groom,2,1
still grieve over innocent life take feel broken inside,3,0
my deepest condolences sri lankan people madness must stop those empty head thugs behind attack must face full punishment law,3,0
islam teaches respect protect religious buildings love all,3,4
who remembers columbo dumbo played gullible detective scratching his head 1970s he played detective columbo solving crimes conflict interest,1,1
all who died give my heart shouldn t happened especially day like,3,3
buddhist never respect him want make fool majority sri lanka when monk appear election he could get less than 600 votes well educated buddhist know what reason behind future will lose everythi,0,1
still grieve over tragedy that happen can not forget sorrow pray everyone affect,3,2
pakistan some hand behind attack attack india already kill our 40 innocent soldiers brutal iam praying those lost there families india,4,4
people sri lanka hospitable very generous also theyre polite may our creator end evil activities god bless sri lanka philippines,1,3
worry that news about attack after what happen hope never happen again,1,1
feel emotional whenever watch video pain country go through feel break inside pray everyone affect,3,4
still terrorism no religion what joke,4,0
al jazeera please search justice,3,4
my heart feels hollow,4,3
stand our friendly nation sri lanka pakistan,3,1
feel uneasy remember public gathering avoid crowded spot now,1,1
feel vicious sleepy,0,4
just don t understand why people go holidaying these places aren t watching news,1,3
i am feel more fuck up than i have ever nothing with school work,0,3
hmmmm wonder who,1,3
sadden learn that some people conference fail develop strategy action,4,0
condolences jordan awful inhumane,3,4
after eastern sunday bomb attack 2019 sl gov,1,4
feel deep emptiness think about innocent life take feel broken inside,3,4
just watched hotel mumbai,3,3
what heard right foreign intelligence agency warned sri lankan police commissioner attack imminent he didnt act then his head should roll,2,2
last tweet quotlbphrasebeatz quotrevrunwisdom afraid tomorrow have see yesterday love today quot realtalkquot,2,2
get this amazing news from tracy today final cover only chapter wonder be feel rush seem did not have enough time,0,1
brought heterosexual islamic men yay,3,2
ask join friend boat lake malawi when make turn seem a if boat would sink side,2,1
