comment,emotion
we balochistani believe that pakistan isi behind the strike .,anxiety
india be behind this attack .,anger
we be mournful for those who pass away . forgive we we could notsafe you .,grief
religious fundamentalism be the cancer of modern world,anger
curse terrorist they re a religion killer .,anger
understand anything build off blood will notlast most of these country in the world be draw up by the europeans country will neverbe fair this will always create instability,anxiety
his name be abu mohammad ...,anger
this bomb blast involve india .,anger
this be indian .,anger
just like bush on 911 good to know .,anger
what do the terrorist get kill by kill innocent people disappoint face,grief
the bomber touch the lil girl face with medical mask face with medical mask,anxiety
it have not to be 2019 now 3years have be pass a black day persevere face,grief
its clear now that the rajapakse plan and exicute the easter attack,anger
only china and myanmar know how to deal with these islamist .,anger
isis that have live by their own sword will eventually die by their own sword what go around come around !,anger
the truth be on come in to light now the mud water be get clear the former president face come forward step by step to clear display who have be play as a master of mind on this blast anyhow this cool news nomore will be discuss they benefit whom be against to the islam,anxiety
people on both side need to calm their hooter and learn to live peacefully ... religion neverteache you to kill your fellow be it teach you to rather spread lovehappinesspositivity whatever you wanna call it . christchurch and sl be both example of a society divide along line of identity which be nota very good sign for 21st century . muslim or christians you all be human first . neither do the teaching of jesus condone what that nutjob do in nz nor do the teaching of allah condone any form of jihad .,sad
calm down . please !,sad
our former president could ve stop it but he choose notto,anger
and the united president be busy with the twitter ! !,anger
very peaceful religion thinking face think face think face grin face with sweat grinning face with sweat grinning face with sweat,anger
indian muslim want to follow isis thinking face think face think face . water wave water wave water wave water wave water wave water wave water wave water wave water wave,anger
it be come to europe,anxiety
pakistan live in the most dreaded dread terrorist masood azhar and hafiz saeed which and isis terrorist wire connect to each other be pakistan wire isis which be connect in the whole world which be a threat to the whole world a threat to the whole world together vigorous action should thumbs up thumb up thumb up thumb up,anger
where be new zealand pm,anxiety
seriously if any more muslim comes claim they be peace love consequence would be beyond imagination,anger
be any muslim leader publicly denounce any of these terrorist attack or even regular innocent muslim on protest against this kind of violence ? nothing right that be what I think . noone be innocent as portray . everyone be in it and enjoy it .,anger
thankyou pope for call it like it be a terrorist attack ... may god be with the victim and their family in their time of need . we share your pain and sorrow .,grief
lanka national cricket team be wound .,grief
credible evidence of indian involvement in the march 3 2009 terror,anger
attack on the sri lankan cricket team the,anger
rocketlauncher and explosive use in the attack on the sri lankan cricket team be,anger
use by indian security force,anger
now in 2019 sri lankan team willing to play cricket in pakistan and,sad
negotiation be under process and hopefully team be come to play in pakistan,sad
again the terror attack have happen in sri lanka and innocent people have die .,grief
it be the pakistani defense cooperation with sri lanka as,sad
source,sad
what about athiest ?,sad
let stand together as christian we will win after all,grief
holy spirit please defend christian as these silent tyrant shout on death of muslim but seal their mouth on death of christian .,fear
news go on always cause fear and distress but nomore today because there be an almighty god know what evil be take place his child all over the world suffer because innocent blood shed by evil doer who want to do evil because they choose satan as their leader in their personal life . human being be ordinary people but what make they extraordinary people to accomplish to fight terrorist and terrorism the divine strength of almighty god of the bible . terrorist be lover of themselves spiritually blind and spiritually deaf web by a psycho leader who refuse their medication or deny to receive any medical treatment . the terrorist be too busy fantasize themselves as movie villain on film direct by a maniac leader with many asset money dine wine and want to destruct the world financial situation so people will come and do business as they control the market of business economy . unfortunately terrorism and terrorist will bring only a curse upon their own economy as it deteriorate by bring plague upon themselves . satan have a high price and when evil be conduct it can destroy the one that dabble in it . evil can turn around to the owner and can destroy its master family as their finance crash disease spread by plague . evil show one face it reveal to its owner and neverleave the generation that embrace and meddle in it . make everything fall apart as they pass the evil down notfeare the true god of the bible hat evil and evil doer ! god almighty can not listen to child who do evil and hurt other intentionally cause destruction and bloodshed ! those evil doer and rejoice in evil to cause harm will have their soul destination in brimstone and sulfur . whenever justice get hold of terrorist they will have to answer many question but when the almighty god the creator of heaven and earth question the individual terrorist who feel proud of their evil act destruction on god almighty holy place the answer be straight to gate of sulfur and brimstone await their soul.the terrorist of any kind whoever and whatever whenever they think such evil plan remember there be a mighty hand which belong to a strong almighty heavenly father who sit on his throne and will protect many of his child and warn his child for the blood many terrorist shed of innocent soul they cry out will be hear by our heavenly father . he sit on a throne where his foot touch planet earth . justice will be see and carry out by our heavenly father whom many call almighty god of universe the great I be . yes big papa in heaven will protect his child and children child through out the land . terrorism will destruct and destroy the terrorist and bring a curse upon their own generation and of their asset . pharaoh of exodus fail and be defeat so will the caliph and his people you help and support terrorism and terrorist ! remember evil will be defeat by the mighty hand of almighty god the heavenly father of the bible . god bless and protect america and the world from wicked evil plan and the people who cause harm to innocent people and shed blood from evil doer . protect we heavenly father in heaven as you do with your mighty hand in the bible please almighty god of israel you stretch out your mighty hand in exodus in the time of moses . those who really love almighty god will neverpartake in such plan for god almighty have his child everywhere . anyone harm god almightys child anywhere in the world be doom and will doom and bring forth a curse to themselves for evil can reverse to those who plan and release such wickedness . my prayer . almighty god creator of heaven and earth will protect provide and will prevail victory over his own child . my sheep hear my voice . the lord be our shepherd .,anxiety
behold the lord hand be notshortene that it can not save neither his ear heavy that it can not hear .,sad
show the original post by our favourite donald trump,anger
my heart go out to the victim and their family . sri lankan we share your pain .,grief
christianity be under attack and our leader be too politically correct to care . canadas foreign affair minister while address the un recently say that white supremacy be the great security threat face the world . clueless like her boss .,anger
be count on she be out next election in october .,anger
when the ccp get involve its notgoe to be pretty,anxiety
that happen because the zionist steal palesetine because of the occupation ... like obviously ... duh ...,anger
some people do something,anger
that be how omar speak of the most devastating terrorist attack ever on we soil in a country she represent . a terrorist attack that be equivalent to fifteen attack each the size of the one the other day in sri lanka .,anger
my condolence to the easter worshipper as obama and hillary call they . why be they so afraid of the damned muslim ?,anger
mr modi the hypocrisy be appal he hat muslim and christian .,anger
let there be a peace in the world globe show Americas,grief
the illuminati group behind this scene attack they want religion war than they put the blame on muslim,anger
the eradication of islamic ideology be a sign of world peace victory hand,anger
muslims will grow more than twice as fast as the overall world population between 2015 and 2060 and in the second half of this century will likely surpass christian as the world large religious group .,anxiety
how be mike pompeo say that it be islamic radical when islamic state only confirm a few hour ago that it be they . good move anyway .,anxiety
please kill all bladdy terrorist grimace face ogre ogre ogre,anger
we be with 1st one 234 be responsible,anger
you say allah be your god ... ... here be a very simple word ... but very destructive ... ... on shahada . ... there be nogod but allah ... ... if ! god be the true meaningtranslation in english ... how allah to be god ? ... the first phrase word be nogod ... it contradict the divinity holiness of god . ... how you worship if nogod ... ... who allah really be ?,anger
I think that only indians be lazy to react to any intelligence input when it come to terrorist attack our neighbour be even dumb than we . this time for a change indiaus give intelligence input to sri lanka about this which be keep in some one desk and forgot . happily count yuan that they get from china for sell hambantota . any news of turkey pm be he the sponsor of this attack . he talk too much about new zealand attack,anger
wear a crucifix or rosary . say a prayer and sing church hymn . now be the turn for islamic leader to wear crucifix and rosary say christian prayer broadcast all over the world . prove your sincere solidarity .,anger
where be the silly woman from nz ? ?,anger
why do not we call a spade a spade its terrorism its islam back an evil ideoligy,anger
I want to know that what be turkey reaction . ... ! !,anxiety
please all power united usa russia india germany france japan uk srilanka myamaar israiel and who want to peace,grief
there will be chain reaction after srilankan church attack and indian govt should keep enhance vigilance along its coast line .,fear
religion of peace strike again flex bicep flex bicep flex bicep,anger
where be the body .,anxiety
most of they be islam fanatic . ... uneducated ignorant . ... poison in the name of allah ...,anger
sri lanka need a new government,anger
world come together to fight terrorist church be heart of jesus terrorists shame shame shame shame shame,anger
I be scared for my family in sri lanka,fear
its about time the world leader stand up for christian that be be attack and kill .,anger
people must be willing to acknowlege the fact in order to cure the disease of hatred and delusion . do you understand ?,anger
islam be commit to world domination . my church ... the one promise the gate of hell shall notprevail ... there be a war ... we as christian be teach to forgive . islam teach to murder and take over by conquest ... read st thomas aquinas on islam ... it be alright ... it be a battle that will be temporarily fight in this world ... but be already accomplish by the blood of christ in heaven ... ... you be notof this world ... and you will be hat for my name sake ...,anger
ban pislam from indian subcontinent enrage face,anger
anyone see a pattern yet ? can we adress the killer elephant in the room ? or be I still islamophobic ? ?,anger
condemn terrorism but allow pedophilia . humm thinking face which one be bad ?,anger
ranil be a cowerd,anger
islam deserve to be extdrminate,anger
the muslims once try to convert europe by the sword . europe fight back . they call it the crusade . be it time for the world to rise up and send the muslim back to their native land where they can practice their religion on each other ? it be notthe muslim that have be live in the west and obey the law of the land they live in . it be the migrant and refugee who refuse to obey the law of the land and take over whole district and town so that anyone notmuslim can not walk the street without fear . the whole world need to wake up . if they manage to take over certain country they will have nuclear weapon . they pervert their religion so that they can lie cheat rape and murder anyone notmuslim . and with nuclear weapon they will be able to do that on a global scale . they do notfear death in a nuclear blast . their faith make they martyr and reward they in their heaven . god save and protect we . or government do not look like they will .,fear
usa pledge support to help get those responsible . unless of course they be saudi arabian .,anger
another easter another islamic terror attack . but you know islamophobia and stuff .,anger
islamic terrorist just slaughter 300 plus christiansinfidel ... but obviously it have nothing to do with islam after all islam be a religion of peace ... ! !,anger
sri lanka need a new government this government can not protect innocent public when intelligence on doorstep sham on you president shame on you mr ranil,anger
how he dear talk about terrorism ! ! how many have we government kill in iraqlibyasyria etc etc ... damn on these dirty hyprocite politic .,anger
very very sad hear lot of people lose their life may almighty allah protect all human from these kind attack,sad
theresa may be so full of crap church be notattacke christian be attack by islamist nochurche be kill in these attack ! !,anger
where s israel and the zioinist condolence ? ?,anger
come to your city soon !,fear
it be notislamic attack be there any proof ? ?,anger
I think there be a war on terror ? should islam notbe on that list ? just ask,anger
why do they bomb hotel if it be purely religious ? seem like be notgette the full story my sri lankan friend have a very different perspective of what happen compare to what the news outlet be say .,anxiety
the religion of peace have strike again ... remember every person who be notmohammadian muslim have to be kill or murder as state in their koran just remember that ...,anger
these kind of thing have be happen in sri lanka for the last 20 year . the christians be be kill . none of these kind of thing should ever be happen in our world whatsoever . but what I do not understand be what these world leader have to do with anything they re usually the one behind it . I d always make I suspicious when they re offer their condolence . I m sure the people of the country really do not care they just do not want these thing happen to they . its the world leader that be at fault that then say kind word what a bunch of bs these people spew then they kill . seem to be the trend do not you think . just wait to see what trudeaus go to do to the canadian,grief
all my deep condolence go to the victim of this tragic incident .,grief
nottoo much about the fact that it be islamic terrorist that do this . when the shoe be on the other foot in christchurch everyone be fall over themselves to be condemn group that the shooter be very loosely align with .,anger
reap what you sow,anger
nosympathy for poor christian who be kill in this islamic attack . you fuke afp hoe new agency have sympathy for the terrorist enrage face face with symbol on mouth,anger
peace love people face with tear of joy face with tear of joy face with tear of joy face with tear of joy,anger
the comment be crazy . the so call muslim group that bomb the church be literally extremist . how be we to blame when some extremist have bomb church . they be noteven muslim they be frame we in islam we do not do this they be do their own fucking way . I do not care about the extremist do not blame the muslim for noreason .,anger
so many religion everywhere in the world but one religion continue to be a problem in every single country every single state and every single continent .,anger
why be muslim all around the world same ? involve be terrorist attack,anger
well people trust you fucker . n look what happen to those who die . pedo worship pos,anger
every action have an equal and opposite reaction face with tear of joy,anger
reaction will be come soon,anxiety
islam be terrorist ... terrorist be islam,anger
350 people die n nosympathy for they show their family mourn bastard,anger
do not blame the buddhist nomore the world know the truth about the evil of islam . buddhism be a true religion of peace .,anger
religion of peace ... peace love people ... face with tear of joy face with tear of joy face with tear of joy face with tear of joy face with tear of joy,anger
hahah wonder how that man still have the courage to say muslim be the most peace love people face with tear of joy my foot,anger
be you serious ? you re whole antichrist religion be base off kill nonmember or tax they to death .,anger
islam shitt tornado tornado tornado tornado pig pig pig pig,anger
why do not you just change religion fuck peace love jihadi,anger
we know muslim be the most peace love people on the planet earth and islam be the only religion of peace . do not teach world the lesson of peace . world know how to respond peacefully to muslim peace .,anger
all religion can live in oeace except this one,anger
there be noreligion of terrorist or terrorism .,sad
too much hate from people who do nothave any clue about how politic work .,anger
try to ask question that be relate to the government and you will find out that there be some force that like to see this world burn .,anxiety
if people think it be the muslims again then it be like watch an old hollywood movie in which people be blame the butler for murder .,anxiety
fuck peace love people face with tear of joy face with tear of joy face with tear of joy face with tear of joy face with tear of joy face with tear of joy face with tear of joy,anger
anti muslim country be increase,fear
what a joke ... peace love people ... peace love kill million of people in name of islam ...,anger
jesus be be shit ass,anger
when 50 people die in new zealand mosque the way world and muslim country react and look at now 300 plus people die in srilanka notsingle muslim country condemn ...,grief
religion of peace should be deal in burmese way ...,anger
rip,grief
its write in their book that suicide bombing enable they to go to heaven directly . be not that total bullshit ?,anger
convert to buddism or go back to pakistan . why notstay in a muslim country ? sri lanka be a buddism country !,anger
tell they either convert to hindu buddudh or christanity if nothen gaand par goli maroo mc ke,anger
this be the time to take action sgainst extrem eahabi group and main source be saudi,anxiety
most use by muslim we be peaceful people face scream in fear,anger
worried about their life,anxiety
if it be in india then muslim would have know what hindu be capable off,anger
these peace love ppl must be say the same then must be do into piece then claim we be also peace love ppl .,anger
after every attack this muslims say we be peace love people what a joke if this attack be on mosque or on muslim they talk about revenge bull shit islam be an evil for human being on earth,anger
who ever do this thing I be sure they be notmuslim . they do just for money or brain wash by some enemy of islam to blaim the religion . they target some muslim who need money and do not have any knowledge about the islam .,anxiety
any muslim can not kill any innocent for any reason . our religion nevertaught we to kill any one .,sad
kill innocent people while notin a war or a selfdefense state be notislamic and those who kill innocent people be notmuslim since allah prohibit killing of innocent soul and it result in double the hell punishment and cause eternal hell,sad
allah say in quraan 532 whosoever kill an innocent human being it shall be as if he have kill all mankind and whosoever save the life of one it shall be as if he have save the life of all mankind . 532,sad
kill innocent people while notin a war or a selfdefense state be notislamic and those who kill innocent people be notmuslim since allah prohibit killing of innocent soul and it result in double the hell punishment and cause eternal hell punishment as it be like kill whole mankind so imagine be punish for all the human in the world .,sad
here be the verse ask we to noteven insult nonmuslim so imagine what about kill they in the church or any where ?,sad
allah say in quraan and do notinsult those they invoke other than allah lest they insult allah in enmity without knowledge holy quran 6108,sad
allah ask we to fight back only when people aggress towards we and fight we and ask we notto aggress,sad
allah say in quraan and fight in the way of allah against those who fight against you but be notaggressive . surely allah love notthe aggressor . 2190,sad
and if they insist on fight we then allah be the most merciful and will forgive we for notwante to fight they but have to,sad
allah say in quraan but if they desist then surely allah be forgive merciful . and fight they until there be nopersecution and religion be only for allah . 2192193,sad
muslims be give permission to defend themselves around the time of prophet muhammad migration from makkah where he grow up to the city of madinah where he spend the rest of his life . this occur in the 13th year of his 23year mission . the danger to muslim in makkah at this time be extreme and there be a real possibility of their total eradication . they be permit to fight back in selfdefense against those who violently oppress they .,sad
permission be give to fight those who have take up arm against you wrongfully . and verily god allah be well able to give you succor . to those who have be drive forth from their home for noreason than this that say our lord be god . quran go on to add hath notgod repel some man by other cloister and church and synagogue and mosque wherein the name of god be ever mention would assuredly have be pull down . quran 22 3942,sad
on another occasion quran say fight in the cause of god those who fight you but do not transgress limit for god love notthe transgressor . the verse go on to say and fight they on until there be nomore oppression and there prevail justice and faith in god but if they cease let there be nohostility except to those who practice oppression.quran 2 190193,sad
the word jihad come from the root arabic word jahd which mean to struggle or to strive notfor kill innocent .,sad
kill innocent nothing but illiteracy and lack of knowledge of islam .,sad
make a law ... nomuslim country,anger
actually they do not know the meaning of peace ... they be still live in 7th century ... always try to convert u ... and they say we be save you from hell . face with tear of joy face with tear of joy face with tear of joy ... if we deny they give we peace rest in peace ... rip,anger
interview those innovent christan notthis terrorist,grief
muslims have to face this thank to their islam their allah ... they be notbeen victim ... why do not all muslim around world take a stand against isis condemn they openly ... idiot will support they only coz they be muslim hence world will torched they coz they be muslim ... tit for tat,anger
these fucker deserve it,anger
finish this cult out of this space !,anger
they be peace love people and yet nearly every massacre be do in the name of their god,anger
these people have create menace in our india usa france nzl afghanistan etc and now in sri lanka ... what do they want ? they do not live in peace and do not let other to live peaceful life ... dirty scumbag,anger
a deceive victimization of muhhamadian religion .,anger
and then they say terrorism have noreligion ... face with roll eye call I hand face with tear of joy,anger
and just like that christians stop be eastern worshipper . drive they all out make sri lanka great !,anger
nowadays condemn on such kind of situation be become very easy for muslim ...,anger
it only take a small percentage 1 of muslim on the front line of their jihad war and the other 99 be supporter . cancer or virus can start as a single cell and use the resource of the body and eventually kill the body as it grow . be pc and a bafoon will actually kill you eventually there be noplace for cancer ideology . do the body want to fight cancer ? notwhen your too ill or dead . accord to muslim book non muslims be the bad of creature . people be bear in a random religion and just go along to get along ... but what if your bear into a violent gang ? learn christian scripture to see that muslim scripture remove the gospel message from god . for example the muslim book omit prophet isaiah and his prophesie which be about jesus .,anger
the muslims in srilanka be convert people.they be notlande from air.it their country too,sad
immigrant in france burn 10 church in one week,anger
bastard throw they out of srilanka,anger
islam be teach terrorism,anger
how be that wherever peaceful muslim go there be terror and destruction ? this be something like newton 3rd law this theory should be add to quantum physic !,anger
another poor muslim story ? give I a break . nosympathy for the dead and mangled christian .,anger
reap what they sow .,anger
more than 300 christan die but now muslim be victim . stop such hypocrisy .,anger
if you follow . religion . specely . islam . how you can say peace full . people . muslim ? first . hunerstend . what s. say . suicide . bomber . zaharan . on his bayan . so this idiyas . where come . from . he clearly tell . islam nota peace full . religion ?,anger
god bless you my srilankan brother . ... we be with you brother . ... from india . ...,sad
pls our india do not allow they visit here ... very dangerious,fear
of course after bomb the whole country kill hundred innocent civilian in broad daylight plus terrorize the whole world attacker feel fear of counter attack or some imminent accountable action to be take against they be natural any perpetrator their supporter sympathizer peer feel guilty or fear of that be very common and nothing new,fear
the real oppressorsperpetrator play their regular daily basis victim card as usual ... what a cunning brainwash hypocrite ... al taqqiya deceive non believer at their good . most of the islamic fanatic heavily indoctrinate from childhood,anger
the person teach in the convent school can just fly the plane ...,anger
while study quran in madrasa the person can fly full airport full ...,anger
be bitter but true .,anger
soonly election goona happen in srilanka now bomb blast these show rajapakse co make this politic and will win he s master plan for this,anxiety
medium stunt it be also part of islamic agenda ...,anger
india India be with all srilankan brother and sister Sri Lanka .,sad
0.46 he be tell that they be peace love people face with tear of joy face with tear of joy face with tear of joy,anger
srilanka we be with you love from india India heart suit Sri Lanka,sad
islamic new project in srilanka .they be very professional in terirriosam ...,anger
I be notbigot . but be not there a outrage like the nz attack . where have all the liberal go,anxiety
this be the bad combination black tamil tiger islamic extremist sri lankan tamil muslim,anger
they be bad person,anger
let I guess cia mi6 or the mossad,anxiety
that s crazywhat point be he try to make ?,anxiety
another quran coward at work . he s still wonder where his virgin and his arm and leg be .,anger
must be shut up hia ... or it empty,anger
a member of the present day president anura kumara dissanabayaja party he and his father for year fund jvp npp election campaign of the current sri lanka president,anxiety
notonly king burry hotel but cinnamon grand kochkade church and many more place smile face with smile eye,grief
as a sri lankan this be the moment that all of the catholic and tourist family be cry face heartbroken,grief
islamic,anger
hotel also need security check .,anxiety
this be cruel and ibrahim be out and he knws everything he be play a double game to escape he shud be punish this be a family of sick and drugged . its an act which broht disrespect to our following and teaching islamic which be peaceful and an unharmful which be misuse and wrong ppl uneducated muftis and haleem preach in such way anybody can become a terrorist its our mistake and our preaching have broth disrespect to our faith we shudnt blame other religion we shud reform and follow wat we be suppose peace charity love care that s wat we be thot,sad
but why ?,anxiety
he be a son of the devil and do what his father the devil love to do terrorising and murder people . a religion . that hat peace and life .,anger
hotel must have a xray machine for customer luggage and wtmd .,anxiety
islamic psychopath walk around with bomb endanger people live,anger
indian raw involve in sucg incident .,anxiety
I m only guess here but be the man a muslim by any chance . you know those delusional terrorist who say we be a peaceful religion ?,anger
islam be nothing just a darkness mislead youth to become a human bomb ...,anger
tamil tiger the hindu group do this I think .,anxiety
what religion be that and what do his religion tell he ?,anxiety
how immigration officer in airport can even let they enter country ?,anxiety
a wife of one of my dad friend die there ... she just stand up to get a drink then the bomb explode cry face I feel so sad for the one die in that explosion loudly cry face ...,grief
america handle I as a dog of isis . america feed these dog into islam . this wahhabi be a dirty breed .,anger
globe show Americas nota safe place at all,anxiety
and what be the point ?,anger
bring to you by the peacful religion of islam and its child molest prophet damnation be upon he mohammad .,anger
hamas be overconfident because quatar iran and all country around israel re support they . hamas be misuse their support for bargain with israel on hostage . the war be state by hamas kill innocent people,anger
its always man who do this neverwoman . why ?,anxiety
so these people who say islamphobe do they see these vidoe,anger
be all the hater some goofy as hindu mfs ?,anger
let I guessit be allah who command he to do this .,anger
one less crazy muslim to worry about .,anger
why ? who be he ?,fear
government of sri lanka public security and safty be 0.0 . sri lanka top . ? 5 star vip hotel public security and safty be 0.0 . corruption of ministry of government sri lanka 100 laugh out loud and sad grinning face with sweat sad but relieved face sleepy face sleepy face enrage face face with symbol on mouth face with steam from nose loudly cry face confound face why you can not understand this I be say ! ! unamused face unamused face unamused face broken heart break heart break heart man facepalme man facepalme woman shrug woman shrug,anger
yep . religious love be the bad hate in the world . these nut be nuts .,anger
honestly as a christian . I do not get why people blame other people belief at this point . to I every religion will always have good bad people in it . its just a dumb move that people always choose to look at they from one side of the coin,fear
what can you do with all those virgin when your ball be stick to the ceiling ?,anger
227 I wonder if she be deafen by the blast .,fear
do this happen in 2013 ?,anxiety
sri lanka be also suffer from pissfull community,anger
this be my country rest in peace,grief
and I suppose with open border well saysure come one come all and next thing you know sri lanksa problem become your problem,anxiety
two minute of silence for people who think this jihadi attack be notfor we and all religion be same . bombing have noreligion,fear
sometimes this kind of attack be targette at tourism sector,fear
this be islam . nobody else .,anger
rest in peace to the people who die that day ...,grief
who even do the explosion ! I do not see nobody,anxiety
explain the vedio anybody,anxiety
be not the point to go where there be a bunch of people ? he go to the hotel that have zero people in it and waste his own life virtually fail with what he set out to do . what a loser,anger
I do not understand why the 99.99 terrorist be from a particular religion ?,anger
rip to all my fellow sri lankan citizen who be murder in these bomb blast ... I remember be nine year old and see all of those explosion happen in the matter of 56 hour in one day ... my mom be call all of our relative who be christian to see if they go to church or if they go for easter dinner ... it be incredibly traumatic especially in cinnamon grand my favourite chef who know my exact pasta order in taprobane die in that explosion ... I hat that day so much,grief
suicide bomber have noprofile ... notsuch as serial killersrapist psychopath etc ... very hard and difficult to trace they .,anxiety
a stupid demon possess who be send to just do bad angry face angry face angry face,anger
fuck coward .,anger
now all hotel and motel will have to a scanner for luggage come into the those building and how much more powerful bomb what kill countless number of innocent people,anxiety
here be 10 question . which religion have warp the mind of man with its teaching and make they carry out atrocity in the name of god ? which religion kill woman for notweare its foolish clothing ? which religion hijack plane to fly into building ? which religion be the only religion to use suicide bomber ? which religion order the killing of salman rushdie ? which religion promise 70 virgin in heaven to its killer ? which religion deny it pay people to kill other ? which religion promise good but deliver evil ? which religion collect zakat for the poor but invest it instead and be now worth 4 trillion dollar ? which religion be so control it destroy people life ? all over the world intelligent people be realize that there be no god and be leave religion . all over the world less intelligent people be become muslim,anger
hate when they kill themselves . take the easy way out enraged face thought and prayer to the victim of this pointless act .,grief
in the name of what horse pile of poo deity do this retard die for ?,anger
watch that make I real angry,anger
religion of peace spread peace,anger
this be what religion do .,anger
peaceful community spread peace cry face,grief
the restaurant look virtually empty be anyone else actually hurt ?,anxiety
why do he kill his self tho ? ? he could have just sit the bag down ... but he go where it be empty and pass all the people shake my head laugh out loud,anxiety
bad cult in the world .,anger
act of peaceful,anger
get to love the muslim !,anger
there s novirgin wait for you where your go asshole,anger
even though this be 4 year ago and I have not be there my heart be beat so fucking fast,anxiety
now that s my bomb squad,anger
islamic majhabi andhbhakt quaran say to destroy non muslim religion in the world fight to non muslim until the world end because we do not believe in their god angry face with horn angry face with horn angry face with horn angry face with horn,anger
cowardly act,anger
he be 100 from india .,anxiety
my ass after eat a pepper,anxiety
piece of shit double exclamation mark rest in peace to all the one that die ... smh,anger
and he enter in that hotel without any security measure or sensor to detect weapon ...,anxiety
really want to find out how it happen in 2019 . come and hear the people from the telephone network .,anxiety
bloody propagandist hindustan times what do you mean by suicide bomber ? ? this criminal set the bomb in the room and then leave . so how do you understand that he be a suicide woozy face bomber ? ? it seem like you guy send he in there . he be so confident that it look like everything be arrange for he in there . honestly you dirty propagandist should be interrogate to find out the truth .,anxiety
my name be janaka bopage . live in denmark . I be very sad to be live here since 2012 . beynder the telephone network . complacent the phone network from sri lanka . show you know more about it . just watch that video . mvh janaka bopage,anxiety
we be still curse the people who do this .rest in peace nice soul . cry face . god be awake .demon will have there punishment in this life or definitely in afterlife . .,grief
srilankan would have come to their sens by now that have muslim in the country be big nuisance . these srilankan have come to india to take training . kerala madurai coimbatore chennai and now due to congress win karnataka who give they cover fire for all their work . all congress hindu should be boycott socially noone should have relation with nothelp they and their in difficult situation until they come to sens . even if they be die noone should help these congress hindu,anger
scary house,anger
the blast which be plan and execute by rajapaksha family to make gotabaya rajapasha as the president.go to hell rajapaksha .,anger
only rip and nothing else ? what be about bitter reply to the traitor ?,anger
mucker from mfucker community peacefool bastard,anger
what he do be against islam the quran mention whoever kill a soul unless for a soul or for corruption do in the land it be as if he have slay mankind entirely . and whoever save one it be as if he have save mankind entirely . quran 532,grief
what be the kill streak ? do he at least get the uav ?,anxiety
allah must be proud of you . spoil religion .,anger
more from the religion of piece . rip to those innocent involve .,anger
islamic terrorist,anger
who accept kill innocent of god name ?,grief
politic be very dirty and I know very well that the corrupt in the government and dirty politician be the one who commit this heinous act . to remain in power and create a religious sectarian war again . cooperation of the people and tolerance between religion such as muslims christians hindu and buddha . it be part of a project that try to dismantle the national unity of the sri lankan people who have suffer the scourge of an ethnic war that precede it . al qaeda be a fictitious name create by the corrupt to cover up their crime .,grief
what a son of a btch ... a sick and disgusting pig .,anger
only in ohio bro skull,anxiety
